user_index,public_key,secret_key,payment_id,amount_xlm,academic_term,create_tx_hash,deposit_tx_hash,status,explorer_contract_url,timestamp
1,GDUWA4JO2A5ZDNZG2OMKEX2SERAK3Z6EUGTULB3BZ6Y5UT3H6GOUUGAP,SDA7KYCTNBBJTRGBXPJJ2MHPPRPR6QH7P3ICCOZGSOZSYICMLSYMXF2Y,pay_u01_4473,28,"Spring 2027",0e56b2986bc6223501bcc2167bd1d23ffb01e201781593dbbf399ba7e81face9,fc17f77508915ce397534e315af0fe0cf3fb60f28cedb1a65c2e2fec261544a3,Escrowed,https://stellar.expert/explorer/testnet/tx/fc17f77508915ce397534e315af0fe0cf3fb60f28cedb1a65c2e2fec261544a3,2026-08-30T06:08:17.779Z
2,GDPA5XOJBIU35IZ5UMZUY5OREXAJ75J4637TGR3C6JKPMEGV6OGKBTGY,SCBATLMYQY4MPPSDD625I7CHTNIJ4NG2JSK6WOXIX2WXRCXUK45SSKCI,pay_u02_9676,31,"Summer 2026",1af960fe873060a6515eb882e088eeb7891bebddb0190986bbcad66907945ea1,7374be74783e65ffbe0814527dc652e13c045c03eb64653d2cff608dec2498ea,Escrowed,https://stellar.expert/explorer/testnet/tx/7374be74783e65ffbe0814527dc652e13c045c03eb64653d2cff608dec2498ea,2026-08-30T06:08:42.908Z
3,GD2NZHMBWM4RXRWKM3BNUQIQEWTITFVJNTJCAICJIFAAUGZUXZ455SSU,SC75IP72TVWJPR3I2K6YBYIII6BD6GCU3QCD34P7MPBWTDEGXTN4PE6D,pay_u03_2454,34,"Winter 2026",0f36ee8ec2e1617c8796c8e3432563b2e01bbb88aba17bcb3c807dbc46dca167,3d791b3ac9264d3e8a04cb210d46a4aa39431fcfb6407c1194433d62039db0d1,Escrowed,https://stellar.expert/explorer/testnet/tx/3d791b3ac9264d3e8a04cb210d46a4aa39431fcfb6407c1194433d62039db0d1,2026-08-30T06:09:08.914Z
4,GAQ7QIOJJYXKQ7BLBC26RYWMW5LGIUBHYVDO2WZ2XEF5UO27CIM5WM6B,SB6F3D6JXZB7ZYUKEJMEZ7QSGBQ7KQDDK6SGL6C2JCS5GYBGJZIBDH3W,pay_u04_9887,37,"Fall 2027",3a6c5b3e1719b1f11ed16901852ecb94394102405cbcaa6b3fce5fefca89ecbd,2de0bba1a4243230b722f24c919d06b1e46bd83e7f90c07131f310872db3365e,Escrowed,https://stellar.expert/explorer/testnet/tx/2de0bba1a4243230b722f24c919d06b1e46bd83e7f90c07131f310872db3365e,2026-08-30T06:09:34.425Z
5,GAU7D4NE6LR6CTNEHAK6OCDG4FXUZBLIC4OVCBISD5RDGEGW4WDXP6TV,SA7F33ULOJA3GI32GRXYSVTVBKXW5JE4WG2ISHRM33C7PED7AYMYYGZC,pay_u05_5258,40,"Fall 2026",6febc60fb17588fd660358137fa3b67e0421ea33f5491a2bb060c64f7da6fd9f,968b985aee697910f2f003b05c380af8e26805dcd2edb6c2189f511312817e07,Escrowed,https://stellar.expert/explorer/testnet/tx/968b985aee697910f2f003b05c380af8e26805dcd2edb6c2189f511312817e07,2026-08-30T06:09:59.411Z
6,GAETGWIUTOKSCQOSQUPQNUEAELH77NCBCIK7RIN63GX5PKABQKEKTI2S,SBXBCCK2M6IWKDW6IT2EGKLFR6BCH53OYVFO6BCC2LATBFVCTIHFPOBQ,pay_u06_1446,43,"Spring 2027",87e69081cf09d423019e364c2a371e8e90c60aef506a2799c079674384c18390,60d258ddf680f267f2c375d7d4dbc6f72839e69b11c9eedd93f33adfd5daf925,Escrowed,https://stellar.expert/explorer/testnet/tx/60d258ddf680f267f2c375d7d4dbc6f72839e69b11c9eedd93f33adfd5daf925,2026-08-30T06:10:28.124Z
7,GDUHR2J4IT4ZKWCNFBV4RJJ3Z7JKB6UW26MPVP65UJ6JRFNQFIZCSAEV,SBLZYRVC3PDMZXC4P3ERHW47T4MOG5CUR3ZEIH33O3CH4FVGGBKH7CJJ,pay_u07_9589,46,"Summer 2026",48843b435077204dd58ea532c3a65740fd89667a160715d0ce2aa0014990f60a,832e7e04e7c872dbdbdb23411b2b2c26a273f2f14fde57f2e66a76a6abc04ebf,Escrowed,https://stellar.expert/explorer/testnet/tx/832e7e04e7c872dbdbdb23411b2b2c26a273f2f14fde57f2e66a76a6abc04ebf,2026-08-30T06:10:52.426Z
8,GAEVUR7CUNMD6MN5DCRN6J3255GQXGKRNO2GXBF52DPSGEA37IDUXVH5,SDCM5EREVLZILZZ4GEKL265NNG2YQTOY7QSLZIPXNZQVSKCKPOJ7KPT7,pay_u08_8971,49,"Winter 2026",7c6bb1de43eb7bbbe9cd2392d1217f8308d910bd4d7e0919291a9c1a98d93f87,ffb5fbedf46cf0504d28a8c97d9166a4912d59d472f9fd2e01e99dd44e384ae2,Escrowed,https://stellar.expert/explorer/testnet/tx/ffb5fbedf46cf0504d28a8c97d9166a4912d59d472f9fd2e01e99dd44e384ae2,2026-08-30T06:11:17.723Z
9,GCFTVOYOQP7Z3MUF4LIQCUTPGQIQWH2DYUFCSCNJ4D3L5KDQI4MNIWC6,SAUNUCWDFIITZO7BLCEE7IJWWV365OR4H4MBAFK5IGP26Z5VJ3SLNCXC,pay_u09_6658,52,"Fall 2027",0c6b447af72cd31943ab2be07bf05df0ae2039142fee301be04aa6c32428fe94,9dbdca4d449404b524fb9e410bdb2129b0a5ceb8ac985021054fde475271a41e,Escrowed,https://stellar.expert/explorer/testnet/tx/9dbdca4d449404b524fb9e410bdb2129b0a5ceb8ac985021054fde475271a41e,2026-08-30T06:11:43.433Z
10,GBYDNMOTGLMP2JMQJK4X2HNSGPWVPTHM4FHTTYU5ZUV7GUQQFS3DK4XE,SBF4Z6T3Z5VP7ZVAXEWT2CBLVMQTKK7HKCIQZDF2GG3OSMADNTS3UF6V,pay_u10_8100,55,"Fall 2026",a33cfbc5d8c99673a9b727c926f3957551480e412dca7c7c93feb990ef2b9e4d,33be4d6f230ea68e4a590ad4967078210fc2df0b2d94c20469e988eb429d9bb9,Escrowed,https://stellar.expert/explorer/testnet/tx/33be4d6f230ea68e4a590ad4967078210fc2df0b2d94c20469e988eb429d9bb9,2026-08-30T06:12:08.223Z
